"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13490.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066022","7.1.1.1.1.2","13490.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581321","7.1.1.8.1.1","10615.6","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581322","7.1.1.8.1.2","10615.6","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","909.7","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1158.7","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11421.6","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11421.6","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6690.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6690.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5365.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5365.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","471.6","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066112","7.1.2.4.1.2","613.4","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064060","7.1.2.5.1.1","5605.2","","","","1"
